artist;title;album;date;time
Wave Pressure;The Ritual;The Ritual;07-03-2018;06:31
E-Force;Cut Your Lungs Out;The Edge Of Insanity;07-03-2018;06:34
Malice;N.S.G;FearTheGear Podcast 003;07-03-2018;06:38
War Force;Devastation;Face The Force;07-03-2018;06:41
TheFatRat;The Calling (Da Tweekaz Remix);The Calling (Da Tweekaz Remix);07-03-2018;06:44
Coone;"Young Gifted &amp; Proud (The Qontinent Anthem 2017)";"Young Gifted &amp; Proud (The Qontinent Anthem 2017)";07-03-2018;06:48
Gunz For Hire;Welcome To Death Row;Welcome To Death Row;07-03-2018;06:52
Scarphase;Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit;Phase One;07-03-2018;06:57
Physika;The Huntsman;The Huntsman;07-03-2018;06:59
Gunz For Hire;No Mercy - Radio Edit;Qlimax 2016 Rise Of The Celestials;07-03-2018;07:04
Phuture Noize;Fire - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;07-03-2018;07:08
Tatanka;Afrika - Original Mix;Afrika E.P.;07-03-2018;07:11
Minus Militia;"Gas D&apos;r Op - Militant Edit";"Gas D&apos;r Op (Militant Edit)";07-03-2018;07:17
Phuture Noize;King Of The Jungle;Pursuit of Thunder;07-03-2018;07:19
Act of Rage;Let The Games Begin;Sabotage;07-03-2018;07:23
Bass Modulators;Imagine;Imagine;07-03-2018;07:27
KELTEK;Down To Earth - Radio Edit;Hardstyle Top 100 - 2017;07-03-2018;07:31
B-Freqz;In The Club;Medium Rare;07-03-2018;07:35
Radical Redemption;Brutal 6.0 - Radio Edit;Brutal 6.0;07-03-2018;07:39
Nick Brewer;Fall From Here - Jarreau Vandal Remix;Warning Light;07-03-2018;07:41
DaniLeigh;Play;Summer With Friends;07-03-2018;09:49
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);07-03-2018;10:02
Dougie F;Up Dwn;Yellow Durag;07-03-2018;10:05
Tobi;January December;January December;07-03-2018;10:08
S.L.M.N;"Too Much Time (feat. Luu Breeze &amp; Emerson Brooks)";"Too Much Time (feat. Luu Breeze &amp; Emerson Brooks)";07-03-2018;10:11
Myke Bogan;Far Away;Pool Party;07-03-2018;10:14
Serious Klein;Boy Boy;Boy Boy;07-03-2018;10:18
Nue;Nightfall;Nightfall;07-03-2018;10:21
Joshua J;Lock My Door;Lock My Door;07-03-2018;10:24
ImJaeHall;Nights;Nights;07-03-2018;10:28
Riz La Vie;Napkins;Napkins;07-03-2018;10:32
Tory Lanez;4 Me;"MEMORIES DON&apos;T DIE";07-03-2018;12:24
Zilo;Keep Up Wimmi;Keep Up Wimmi;07-03-2018;12:27
Eli Sostre;Nobody Else;Sleep Is for the Weak;07-03-2018;12:32
On The Fence;For Life feat. Burgundy Son;Better Than Nothing EP;07-03-2018;12:35
Nue;Nightfall;Nightfall;07-03-2018;12:38
Aries;Carousel;Carousel;07-03-2018;12:41
Myke Bogan;Far Away;Pool Party;07-03-2018;12:53
Ajani Jones;Pyramids;Cocoons;07-03-2018;12:56
Elton;"Callin&apos;";"Callin&apos;";07-03-2018;12:59
Norman Perry;Alive;Alive - Single;07-03-2018;13:04
Eli Sostre;Cribbo;Cribbo;07-03-2018;13:06
Guordan Banks;Wanna Be Yours;Wanna Be Yours;07-03-2018;13:32
Kelechi;"Don&apos;t Fuck It Up";"Don&apos;t Fuck It Up";07-03-2018;13:36
happytree;S.O.S.;In Due Time;07-03-2018;13:40
Healy;Unwind;Unwind;07-03-2018;13:43
Act of Rage;Let The Games Begin;Sabotage;07-03-2018;14:05
Killshot;Beastmode - Radio Edit;Beastmode;07-03-2018;14:09
Chemical Soldiers;Cosmos;FearTheGear Podcast 002;07-03-2018;14:12
Noisecontrollers;The Spirit of Hardstyle - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;07-03-2018;14:15
TheFatRat;The Calling (Da Tweekaz Remix);The Calling (Da Tweekaz Remix);07-03-2018;15:41
Project One;Luminosity;EP I;07-03-2018;15:45
Gunz For Hire;No Mercy - Radio Edit;Qlimax 2016 Rise Of The Celestials;07-03-2018;15:48
Tatanka;Afrika - Original Mix;Afrika E.P.;07-03-2018;15:52
Kodak Black;Roll in Peace (feat. XXXTENTACION);Project Baby 2;07-03-2018;15:57
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);07-03-2018;16:00
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);07-03-2018;16:04
Nue;Nightfall;Nightfall;07-03-2018;16:08
Aries;Carousel;Carousel;07-03-2018;16:11
Kodak Black;Roll in Peace (feat. XXXTENTACION);Project Baby 2;07-03-2018;16:14
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);07-03-2018;16:17
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);07-03-2018;16:22
Nue;Nightfall;Nightfall;07-03-2018;16:25
Headhunterz;Destiny - Edit;Hardstyle Top 100 - Best Of 2017;07-03-2018;16:45
Requiem;Take The Hit - Original Edit;Take The Hit;07-03-2018;16:47
Cyber;Union - Radio Version;Union;07-03-2018;16:49
Psyko Punkz;Play The Drum - Radio Edit;Hardstyle Top 100 - Best Of 2017;07-03-2018;16:52
Project One;Luminosity;EP I;07-03-2018;16:57
Rejecta;Followed;Followed;07-03-2018;17:01
Noisecontrollers;The Spirit of Hardstyle - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;07-03-2018;17:07
Ran-D;Firestarter - Radio Edit;Firestarter;07-03-2018;17:12
Ran-D;Zombie - Radio Edit;Slam! Hardstyle vol. 16;07-03-2018;17:17
Killshot;Beastmode - Radio Edit;Beastmode;07-03-2018;17:21
"D-Block &amp; S-te-Fan";"Angels &amp; Demons";"Angels &amp; Demons";07-03-2018;17:25
Deadly Guns;Power Of Truth;The Gunshow;07-03-2018;21:13
Kodak Black;Roll in Peace (feat. XXXTENTACION);Project Baby 2;07-03-2018;21:18
Nue;Nightfall;Nightfall;07-03-2018;21:21
Aries;Carousel;Carousel;07-03-2018;21:25
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);07-03-2018;21:28
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);07-03-2018;21:32
Kodak Black;Roll in Peace (feat. XXXTENTACION);Project Baby 2;07-03-2018;21:35
Dante Klein;"Coke &amp; Hennessy";"Coke &amp; Hennessy";07-03-2018;21:38
Ed Sheeran;"Perfect Symphony (Ed Sheeran &amp; Andrea Bocelli)";"Perfect Symphony (Ed Sheeran &amp; Andrea Bocelli)";07-03-2018;21:42
B.o.B;"Don&apos;t Let Me Fall";B.o.B Presents: The Adventures of Bobby Ray;07-03-2018;21:46
Rejecta;Followed;Followed;07-03-2018;22:43
Rejecta;Followed;Followed;07-03-2018;22:46
Rejecta;Followed;Followed;07-03-2018;22:50
Frequencerz;Renegades;Renegades;07-03-2018;22:53
Act of Rage;Let The Games Begin;Sabotage;07-03-2018;22:56
Eminem;Untitled;Recovery;07-03-2018;23:01
Eminem;Nowhere Fast (feat. Kehlani);Revival;07-03-2018;23:41
Eminem;Sing for the Moment;Curtain Call;07-03-2018;23:46
Eminem;Cinderella Man;Recovery;07-03-2018;23:51
Eminem;Beautiful;Relapse;07-03-2018;23:56
Eminem;Stronger than I Was;The Marshall Mathers LP2 (Deluxe);08-03-2018;00:02
Eminem;Space Bound;Recovery;08-03-2018;00:08
Eminem;Seduction;Recovery;08-03-2018;07:05
Eminem;Without Me;Curtain Call;08-03-2018;07:09
Eminem;River (feat. Ed Sheeran);Revival;08-03-2018;07:14
Eminem;River (feat. Ed Sheeran);Revival;08-03-2018;07:18
Eminem;River (feat. Ed Sheeran);Revival;08-03-2018;07:22
Eminem;"When I&apos;m Gone";Curtain Call;08-03-2018;07:26
Gunz For Hire;"Armed &amp; Dangerous - Radio Edit";Hardstyle The Ultimate Collection Best Of 2017;08-03-2018;15:57
Rejecta;Followed;Followed;08-03-2018;16:01
Scarphase;Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit;Phase One;08-03-2018;16:05
Bass Modulators;Imagine;Imagine;08-03-2018;16:07
Headhunterz;Destiny - Edit;Hardstyle Top 100 - Best Of 2017;08-03-2018;16:11
Ran-D;Firestarter - Radio Edit;Firestarter;08-03-2018;16:14
KELTEK;Down To Earth - Radio Edit;Hardstyle Top 100 - 2017;08-03-2018;16:17
Radical Redemption;America - Radio Edit;The Road To Redemption (Radio Edits);08-03-2018;16:21
Physika;The Huntsman;The Huntsman;08-03-2018;16:24
"D-Block &amp; S-te-Fan";"Angels &amp; Demons";"Angels &amp; Demons";08-03-2018;16:29
Subsonic;M.F. Psycho - Edit;M.F. Psycho;08-03-2018;16:32
Chemical Soldiers;Cosmos;FearTheGear Podcast 002;08-03-2018;16:35
Eminem;River (feat. Ed Sheeran);Revival;09-03-2018;01:28
Eminem;Love Game;The Marshall Mathers LP2 (Deluxe);09-03-2018;01:31
Aries;Carousel;Carousel;09-03-2018;01:37
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);09-03-2018;01:39
Eminem;Mockingbird;Curtain Call;09-03-2018;01:56
Eminem;Not Afraid;Recovery;09-03-2018;02:00
Eminem;Stan;Curtain Call;09-03-2018;02:04
Eminem;"&apos;Till I Collapse";The Eminem Show (Explicit Version);09-03-2018;02:10
Eminem;White America;The Eminem Show (Explicit Version);09-03-2018;02:15
Eminem;Rap God;The Marshall Mathers LP2 (Deluxe);09-03-2018;08:28
Eminem;Bad Husband (feat. X Ambassadors);Revival;09-03-2018;08:34
Eminem;Say Goodbye Hollywood;The Eminem Show (Explicit Version);09-03-2018;08:39
Eminem;The Real Slim Shady;Curtain Call;09-03-2018;08:43
Eminem;Legacy;The Marshall Mathers LP2 (Deluxe);09-03-2018;08:48
Eminem;Like Home (feat. Alicia Keys);Revival;09-03-2018;08:53
Eminem;So Much Better;The Marshall Mathers LP2 (Deluxe);09-03-2018;08:57
Eminem;Lose Yourself - Soundtrack Version;Curtain Call;09-03-2018;09:01
Eminem;Going Through Changes;Recovery;09-03-2018;09:06
Eminem;No Love;Recovery;09-03-2018;09:11
Eminem;Beautiful Pain;The Marshall Mathers LP2 (Deluxe);09-03-2018;09:16
Eminem;Tragic Endings (feat. Skylar Grey);Revival;09-03-2018;09:21
Eminem;Headlights;The Marshall Mathers LP2 (Deluxe);09-03-2018;09:25
Eminem;Like Toy Soldiers;Curtain Call;09-03-2018;09:31
Eminem;Asshole;The Marshall Mathers LP2 (Deluxe);09-03-2018;09:35
Eminem;Shake That;Curtain Call;09-03-2018;09:40
Eminem;Space Bound;Recovery;09-03-2018;09:45
Eminem;"When I&apos;m Gone";Curtain Call;09-03-2018;09:49
Eminem;Without Me;Curtain Call;09-03-2018;09:54
Eminem;Stronger than I Was;The Marshall Mathers LP2 (Deluxe);09-03-2018;09:59
Eminem;Cinderella Man;Recovery;09-03-2018;10:04
Eminem;"Cleanin&apos; Out My Closet";Curtain Call;09-03-2018;10:09
Eminem;Nowhere Fast (feat. Kehlani);Revival;09-03-2018;10:14
Eminem;Rhyme or Reason;The Marshall Mathers LP2 (Deluxe);09-03-2018;10:18
Eminem;Untitled;Recovery;09-03-2018;10:23
Eminem;Seduction;Recovery;09-03-2018;10:26
Eminem;Sing for the Moment;Curtain Call;09-03-2018;10:31
Eminem;Beautiful;Relapse;09-03-2018;10:36
Eminem;River (feat. Ed Sheeran);Revival;09-03-2018;10:43
Eminem;The Way I Am;Curtain Call;09-03-2018;10:47
Eminem;Love The Way You Lie;Recovery;09-03-2018;10:51
Rejecta;Followed;Followed;09-03-2018;10:56
Rejecta;Followed;Followed;09-03-2018;11:00
Rejecta;Followed;Followed;09-03-2018;11:58
Project One;Luminosity;EP I;09-03-2018;12:04
Noisecontrollers;The Spirit of Hardstyle - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;09-03-2018;12:08
D.R.S.;Overdose - Original Mix;"Party &amp; Bullshit EP";09-03-2018;12:12
Killshot;Beastmode - Radio Edit;Beastmode;09-03-2018;12:16
Radical Redemption;Brutal 6.0 - Radio Edit;Brutal 6.0;09-03-2018;12:20
Ran-D;Zombie - Radio Edit;Slam! Hardstyle vol. 16;09-03-2018;12:23
B-Freqz;In The Club;Medium Rare;09-03-2018;12:28
Gunz For Hire;Executioner Style - Radio Edit;Executioner Style;09-03-2018;12:32
Ransom;"Fistpumpin&apos; - Edit";Pussy Lounge 2016;09-03-2018;12:35
Psyko Punkz;Spaceship - Radio Edit;Qlimax 2016 Rise Of The Celestials;09-03-2018;12:37
Ran-D;Firestarter - Radio Edit;Firestarter;09-03-2018;12:41
TheFatRat;The Calling (Da Tweekaz Remix);The Calling (Da Tweekaz Remix);09-03-2018;12:45
Rejecta;Followed;Followed;09-03-2018;19:22
Ran-D;Suicidal Superstar;Suicidal Superstar;09-03-2018;23:01
Clockartz;In The Army;In The Army;09-03-2018;23:05
Rejecta;Followed;Followed;10-03-2018;00:03
Deadly Guns;Power Of Truth;The Gunshow;10-03-2018;00:06
Post Malone;Congratulations;Stoney;10-03-2018;01:04
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);10-03-2018;01:07
Nue;Nightfall;Nightfall;10-03-2018;01:12
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);10-03-2018;01:15
Kodak Black;Roll in Peace (feat. XXXTENTACION);Project Baby 2;10-03-2018;01:19
Aries;Carousel;Carousel;10-03-2018;01:22
Post Malone;Congratulations;Stoney;10-03-2018;01:25
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);10-03-2018;01:28
Radical Redemption;America - Radio Edit;The Road To Redemption (Radio Edits);10-03-2018;06:13
Bass Modulators;Imagine;Imagine;10-03-2018;06:20
Scarphase;Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit;Phase One;10-03-2018;06:24
Headhunterz;Destiny - Edit;Hardstyle Top 100 - Best Of 2017;10-03-2018;06:26
Psyko Punkz;Play The Drum - Radio Edit;Hardstyle Top 100 - Best Of 2017;10-03-2018;06:28
Cyber;Union - Radio Version;Union;10-03-2018;06:32
Chemical Soldiers;Cosmos;FearTheGear Podcast 002;10-03-2018;06:34
Physika;The Huntsman;The Huntsman;10-03-2018;06:37
Gunz For Hire;Welcome To Death Row;Welcome To Death Row;10-03-2018;06:42
KELTEK;Down To Earth - Radio Edit;Hardstyle Top 100 - 2017;10-03-2018;06:47
"D-Block &amp; S-te-Fan";"Angels &amp; Demons";"Angels &amp; Demons";10-03-2018;14:51
Noisecontrollers;The Spirit of Hardstyle - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;10-03-2018;14:54
Act of Rage;Let The Games Begin;Sabotage;10-03-2018;15:01
Ran-D;Suicidal Superstar;Suicidal Superstar;10-03-2018;15:05
D.R.S.;Overdose - Original Mix;"Party &amp; Bullshit EP";10-03-2018;15:08
Psyko Punkz;Spaceship - Radio Edit;Qlimax 2016 Rise Of The Celestials;10-03-2018;15:12
Refuzion;Without You - Radio Version;Without You;10-03-2018;15:15
Ran-D;Zombie - Radio Edit;Slam! Hardstyle vol. 16;10-03-2018;15:18
Requiem;Take The Hit - Original Edit;Take The Hit;10-03-2018;15:25
Project One;Luminosity;EP I;10-03-2018;15:27
Radical Redemption;Brutal 6.0 - Radio Edit;Brutal 6.0;10-03-2018;15:30
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);11-03-2018;00:54
Aries;Carousel;Carousel;11-03-2018;02:47
Rejecta;Followed;Followed;11-03-2018;09:39
Malice;N.S.G;FearTheGear Podcast 003;11-03-2018;09:41
Ran-D;Drugs;Drugs;11-03-2018;09:45
Clockartz;The Art Of Being One;The Art of Being One;11-03-2018;09:50
Clockartz;The Art Of Being One;The Art of Being One;11-03-2018;09:53
Phuture Noize;The Aftershock;The Aftershock EP;11-03-2018;09:58
Ran-D;Firestarter - Radio Edit;Firestarter;11-03-2018;11:10
Killshot;Beastmode - Radio Edit;Beastmode;11-03-2018;11:13
TheFatRat;The Calling (Da Tweekaz Remix);The Calling (Da Tweekaz Remix);11-03-2018;11:17
KELTEK;Down To Earth - Radio Edit;Hardstyle Top 100 - 2017;11-03-2018;11:21
Phuture Noize;King Of The Jungle;Pursuit of Thunder;11-03-2018;11:25
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);11-03-2018;17:32
Nue;Nightfall;Nightfall;11-03-2018;17:36
Lil Skies;Red Roses (Feat. Landon Cube);Red Roses (feat. Landon Cube);11-03-2018;17:40
Aries;Carousel;Carousel;11-03-2018;17:44
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);11-03-2018;17:47
Freestylers feat. Belle Humble;Cracks - Flux Pavilion Remix;Never Say Die (Deluxe Edition);11-03-2018;17:49
Reloaded;A New World;Reverze 2018 Essence Of Eternity;11-03-2018;22:01
The Pitcher;Keep It Up;Keep It Up;11-03-2018;22:04
Technoboy;1998 - Extended version;1998;11-03-2018;22:07
The Pitcher;Keep It Up;Keep It Up;11-03-2018;23:07
Lil Skies;Nowadays (feat. Landon Cube);Nowadays (feat. Landon Cube);11-03-2018;23:10
Post Malone;Congratulations;Stoney;11-03-2018;23:13
Aries;Carousel;Carousel;11-03-2018;23:17
The Pitcher;Keep It Up;Keep It Up;11-03-2018;23:20
Phuture Noize;Fire - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;11-03-2018;23:23
Radical Redemption;America - Radio Edit;The Road To Redemption (Radio Edits);11-03-2018;23:28
Frequencerz;Renegades;Renegades;11-03-2018;23:32
Chemical Soldiers;Cosmos;FearTheGear Podcast 002;11-03-2018;23:36
"D-Block &amp; S-te-Fan";"Angels &amp; Demons";"Angels &amp; Demons";11-03-2018;23:39
Gunz For Hire;"Armed &amp; Dangerous - Radio Edit";Hardstyle The Ultimate Collection Best Of 2017;11-03-2018;23:42
Bass Modulators;Imagine;Imagine;12-03-2018;05:44
Headhunterz;Destiny - Edit;Hardstyle Top 100 - Best Of 2017;12-03-2018;05:50
Ran-D;Suicidal Superstar;Suicidal Superstar;12-03-2018;05:52
Psyko Punkz;Spaceship - Radio Edit;Qlimax 2016 Rise Of The Celestials;12-03-2018;05:56
Act of Rage;Let The Games Begin;Sabotage;12-03-2018;06:02
Scarphase;Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit;Phase One;12-03-2018;06:06
Ran-D;Zombie - Radio Edit;Slam! Hardstyle vol. 16;12-03-2018;06:08
Project One;Luminosity;EP I;12-03-2018;06:13
Noisecontrollers;The Spirit of Hardstyle - Radio Edit;Hardstyle The Ultimate Collection Best Of 2017;12-03-2018;06:16
